start creating config files...
update config files success
Computational complexity:       4.12 GMac
Number of parameters:           23.92 M 
no checkpoints
[0][0/750]	Loss:5.26883	Lr:0.001000	Data:0594ms	Train:0089ms	Mem:1.01Gb	Prec@1:0.0000
[4][650/725]	Loss:1.97505	Lr:0.000000	Data:0013ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.6765
[4][700/725]	Loss:0.92258	Lr:0.000000	Data:0012ms	Train:0004ms	Mem:1.06Gb	Prec@1:0.6844
Train Prec@1:0.5699	Val Prec@1:0.6836
BestV Prec@1:0.6836	Best Epoch:4
[5][0/750]	Loss:1.11920	Lr:0.001000	Data:0613ms	Train:0090ms	Mem:1.06Gb	Prec@1:0.7500
[5][150/750]	Loss:1.80054	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.6151
[5][300/750]	Loss:2.52015	Lr:0.001000	Data:0008ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.6063
[5][450/750]	Loss:1.56792	Lr:0.001000	Data:0002ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.5992
[5][600/750]	Loss:2.78638	Lr:0.001000	Data:0001ms	Train:0061ms	Mem:1.06Gb	Prec@1:0.6040
[5][0/725]	Loss:1.19171	Lr:0.000000	Data:0648ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.7500
[5][50/725]	Loss:0.30014	Lr:0.000000	Data:0025ms	Train:0029ms	Mem:1.06Gb	Prec@1:0.8113
[5][100/725]	Loss:0.50181	Lr:0.000000	Data:0038ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7129
[5][150/725]	Loss:1.94740	Lr:0.000000	Data:0016ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7094
[5][200/725]	Loss:1.69976	Lr:0.000000	Data:0017ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7220
[5][250/725]	Loss:2.81216	Lr:0.000000	Data:0037ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6962
[5][300/725]	Loss:0.08032	Lr:0.000000	Data:0022ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7085
[5][350/725]	Loss:0.33847	Lr:0.000000	Data:0016ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7133
[5][400/725]	Loss:1.17335	Lr:0.000000	Data:0015ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7117
[5][450/725]	Loss:1.69188	Lr:0.000000	Data:0021ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6910
[5][500/725]	Loss:0.02015	Lr:0.000000	Data:0026ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.6859
[5][550/725]	Loss:2.34513	Lr:0.000000	Data:0020ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.6799
[5][600/725]	Loss:0.64858	Lr:0.000000	Data:0013ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.6884
[5][650/725]	Loss:1.71988	Lr:0.000000	Data:0013ms	Train:0026ms	Mem:1.06Gb	Prec@1:0.6922
[5][700/725]	Loss:0.17831	Lr:0.000000	Data:0012ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7045
Train Prec@1:0.6026	Val Prec@1:0.7019
BestV Prec@1:0.7019	Best Epoch:5
[6][0/750]	Loss:1.04352	Lr:0.001000	Data:0591ms	Train:0094ms	Mem:1.06Gb	Prec@1:0.7500
[6][150/750]	Loss:2.57933	Lr:0.001000	Data:0001ms	Train:0061ms	Mem:1.06Gb	Prec@1:0.6209
[6][300/750]	Loss:1.11855	Lr:0.001000	Data:0005ms	Train:0094ms	Mem:1.06Gb	Prec@1:0.6221
[6][450/750]	Loss:1.06998	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.6264
[6][600/750]	Loss:2.14386	Lr:0.001000	Data:0001ms	Train:0094ms	Mem:1.06Gb	Prec@1:0.6231
[6][0/725]	Loss:0.78787	Lr:0.000000	Data:0598ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.7500
[6][50/725]	Loss:0.20666	Lr:0.000000	Data:0026ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7794
[6][100/725]	Loss:0.36412	Lr:0.000000	Data:0012ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7252
[6][150/725]	Loss:0.99661	Lr:0.000000	Data:0024ms	Train:0036ms	Mem:1.06Gb	Prec@1:0.7136
[6][200/725]	Loss:1.87276	Lr:0.000000	Data:0017ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7345
[6][250/725]	Loss:3.69810	Lr:0.000000	Data:0011ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7082
[6][300/725]	Loss:0.00493	Lr:0.000000	Data:0011ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.7284
[6][350/725]	Loss:0.30168	Lr:0.000000	Data:0016ms	Train:0029ms	Mem:1.06Gb	Prec@1:0.7407
[6][400/725]	Loss:0.66058	Lr:0.000000	Data:0023ms	Train:0008ms	Mem:1.06Gb	Prec@1:0.7307
[6][450/725]	Loss:2.02522	Lr:0.000000	Data:0024ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7226
[6][500/725]	Loss:0.11206	Lr:0.000000	Data:0028ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7223
[6][550/725]	Loss:2.20484	Lr:0.000000	Data:0015ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7123
[6][600/725]	Loss:1.11948	Lr:0.000000	Data:0015ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7232
[6][650/725]	Loss:2.11462	Lr:0.000000	Data:0013ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7225
[6][700/725]	Loss:0.07825	Lr:0.000000	Data:0011ms	Train:0004ms	Mem:1.06Gb	Prec@1:0.7284
Train Prec@1:0.6288	Val Prec@1:0.7308
BestV Prec@1:0.7308	Best Epoch:6
[7][0/750]	Loss:1.44276	Lr:0.001000	Data:0666ms	Train:0078ms	Mem:1.06Gb	Prec@1:0.7500
[7][150/750]	Loss:0.65159	Lr:0.001000	Data:0001ms	Train:0061ms	Mem:1.06Gb	Prec@1:0.6540
[7][300/750]	Loss:1.06630	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.6591
[7][450/750]	Loss:1.14203	Lr:0.001000	Data:0001ms	Train:0061ms	Mem:1.06Gb	Prec@1:0.6688
[7][600/750]	Loss:2.50133	Lr:0.001000	Data:0001ms	Train:0061ms	Mem:1.06Gb	Prec@1:0.6658
[7][0/725]	Loss:1.05818	Lr:0.000000	Data:0602ms	Train:0026ms	Mem:1.06Gb	Prec@1:0.7500
[7][50/725]	Loss:0.72685	Lr:0.000000	Data:0022ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.8113
[7][100/725]	Loss:0.72647	Lr:0.000000	Data:0027ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7550
[7][150/725]	Loss:1.29913	Lr:0.000000	Data:0016ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7276
[7][200/725]	Loss:1.31315	Lr:0.000000	Data:0039ms	Train:0038ms	Mem:1.06Gb	Prec@1:0.7345
[7][250/725]	Loss:2.43194	Lr:0.000000	Data:0026ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7047
[7][300/725]	Loss:0.01417	Lr:0.000000	Data:0013ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7313
[7][350/725]	Loss:0.46536	Lr:0.000000	Data:0020ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7407
[7][400/725]	Loss:1.07616	Lr:0.000000	Data:0012ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7322
[7][450/725]	Loss:1.81899	Lr:0.000000	Data:0021ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7184
[7][500/725]	Loss:0.00381	Lr:0.000000	Data:0012ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7196
[7][550/725]	Loss:2.14609	Lr:0.000000	Data:0014ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7105
[7][600/725]	Loss:1.03743	Lr:0.000000	Data:0022ms	Train:0007ms	Mem:1.06Gb	Prec@1:0.7196
[7][650/725]	Loss:1.70520	Lr:0.000000	Data:0023ms	Train:0007ms	Mem:1.06Gb	Prec@1:0.7229
[7][700/725]	Loss:0.29484	Lr:0.000000	Data:0012ms	Train:0004ms	Mem:1.06Gb	Prec@1:0.7325
Train Prec@1:0.6575	Val Prec@1:0.7330
BestV Prec@1:0.7330	Best Epoch:7
[8][0/750]	Loss:1.53387	Lr:0.001000	Data:0623ms	Train:0071ms	Mem:1.06Gb	Prec@1:0.5000
[8][150/750]	Loss:1.10352	Lr:0.001000	Data:0004ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.6738
[8][300/750]	Loss:2.52327	Lr:0.001000	Data:0001ms	Train:0062ms	Mem:1.06Gb	Prec@1:0.6690
[8][450/750]	Loss:2.51403	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.6674
[8][600/750]	Loss:1.72668	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.6697
[8][0/725]	Loss:1.73620	Lr:0.000000	Data:0600ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.7500
[8][50/725]	Loss:0.52905	Lr:0.000000	Data:0027ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7990
[8][100/725]	Loss:0.66156	Lr:0.000000	Data:0020ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.7215
[8][150/725]	Loss:1.07374	Lr:0.000000	Data:0027ms	Train:0030ms	Mem:1.06Gb	Prec@1:0.7293
[8][200/725]	Loss:2.13312	Lr:0.000000	Data:0012ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7463
[8][250/725]	Loss:2.70083	Lr:0.000000	Data:0027ms	Train:0028ms	Mem:1.06Gb	Prec@1:0.7216
[8][300/725]	Loss:0.02380	Lr:0.000000	Data:0027ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7434
[8][350/725]	Loss:0.25215	Lr:0.000000	Data:0015ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.7447
[8][400/725]	Loss:0.81825	Lr:0.000000	Data:0025ms	Train:0019ms	Mem:1.06Gb	Prec@1:0.7400
[8][450/725]	Loss:0.73496	Lr:0.000000	Data:0012ms	Train:0035ms	Mem:1.06Gb	Prec@1:0.7275
[8][500/725]	Loss:0.03670	Lr:0.000000	Data:0017ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7233
[8][550/725]	Loss:1.86092	Lr:0.000000	Data:0013ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.7153
[8][600/725]	Loss:0.70453	Lr:0.000000	Data:0027ms	Train:0007ms	Mem:1.06Gb	Prec@1:0.7252
[8][650/725]	Loss:2.16913	Lr:0.000000	Data:0017ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7266
[8][700/725]	Loss:0.25599	Lr:0.000000	Data:0012ms	Train:0004ms	Mem:1.06Gb	Prec@1:0.7352
Train Prec@1:0.6695	Val Prec@1:0.7356
BestV Prec@1:0.7356	Best Epoch:8
[9][0/750]	Loss:1.21236	Lr:0.001000	Data:0618ms	Train:0067ms	Mem:1.06Gb	Prec@1:0.6250
[9][150/750]	Loss:1.09187	Lr:0.001000	Data:0001ms	Train:0061ms	Mem:1.06Gb	Prec@1:0.6937
[9][300/750]	Loss:1.19174	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.6927
[9][450/750]	Loss:0.81833	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.6935
[9][600/750]	Loss:0.29826	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.6855
[9][0/725]	Loss:2.05861	Lr:0.000000	Data:0615ms	Train:0007ms	Mem:1.06Gb	Prec@1:0.6250
[9][50/725]	Loss:0.33587	Lr:0.000000	Data:0027ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.8015
[9][100/725]	Loss:0.60546	Lr:0.000000	Data:0012ms	Train:0038ms	Mem:1.06Gb	Prec@1:0.7290
[9][150/725]	Loss:1.01866	Lr:0.000000	Data:0012ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7094
[9][200/725]	Loss:1.45704	Lr:0.000000	Data:0016ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7233
[9][250/725]	Loss:3.58666	Lr:0.000000	Data:0033ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7047
[9][300/725]	Loss:0.00551	Lr:0.000000	Data:0022ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7346
[9][350/725]	Loss:0.04101	Lr:0.000000	Data:0023ms	Train:0015ms	Mem:1.06Gb	Prec@1:0.7447
[9][400/725]	Loss:0.70443	Lr:0.000000	Data:0013ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7488
[9][450/725]	Loss:2.07870	Lr:0.000000	Data:0012ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7309
[9][500/725]	Loss:0.00667	Lr:0.000000	Data:0014ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.7308
[9][550/725]	Loss:2.64085	Lr:0.000000	Data:0012ms	Train:0011ms	Mem:1.06Gb	Prec@1:0.7232
[9][600/725]	Loss:0.73111	Lr:0.000000	Data:0011ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.7294
[9][650/725]	Loss:1.70751	Lr:0.000000	Data:0035ms	Train:0008ms	Mem:1.06Gb	Prec@1:0.7323
[9][700/725]	Loss:0.15033	Lr:0.000000	Data:0012ms	Train:0004ms	Mem:1.06Gb	Prec@1:0.7384
Train Prec@1:0.6832	Val Prec@1:0.7394
BestV Prec@1:0.7394	Best Epoch:9
[10][0/750]	Loss:0.35414	Lr:0.001000	Data:0651ms	Train:0063ms	Mem:1.06Gb	Prec@1:1.0000
[10][150/750]	Loss:0.69876	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.7078
[10][300/750]	Loss:0.93566	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.7068
[10][450/750]	Loss:1.87154	Lr:0.001000	Data:0001ms	Train:0083ms	Mem:1.06Gb	Prec@1:0.7079
[10][600/750]	Loss:1.25009	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.7015
[10][0/725]	Loss:1.36149	Lr:0.000000	Data:0611ms	Train:0008ms	Mem:1.06Gb	Prec@1:0.7500
[10][50/725]	Loss:0.56601	Lr:0.000000	Data:0016ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7868
[10][100/725]	Loss:1.59327	Lr:0.000000	Data:0020ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7191
